command,source,registered,fe_call_sites,fe_first_site,http_method,endpoint,risk,risk_reason,browser_substitute
get_views,commands.rs:4684,yes,8,src/contexts/DatabaseProvider.tsx:300,GET,/api/db/get-views,GREEN,pure request/response,Direct HTTP endpoint
import_connections_payload,commands.rs:6001,yes,0,,POST,/api/db/import-connections-payload,YELLOW,local-disk file i/o + progress events,HTTP streaming download / multipart upload; WS progress
import_database,dump_commands.rs:440,yes,1,src/components/modals/ImportDatabaseModal.tsx:61,POST,/api/dump/import-database,YELLOW,local-disk file i/o + progress events,HTTP streaming download / multipart upload; WS progress
import_theme,theme_commands.rs:89,yes,0,,POST,/api/themes/import-theme,YELLOW,local-disk file i/o + progress events,HTTP streaming download / multipart upload; WS progress
insert_record,commands.rs:4045,yes,2,src/components/modals/NewRowModal.tsx:212,POST,/api/db/insert-record,GREEN,pure request/response,Direct HTTP endpoint
install_mcp_config,mcp/install.rs:217,yes,2,src/components/modals/McpModal.tsx:115,POST,/api/mcp/install-mcp-config,RED,installs/controls local child process (stdio JSON-RPC),"Server-side plugin host, admin-gated; per-user sandbox"
install_plugin,plugins/commands.rs:153,yes,3,src/hooks/useDeepLinkInstall.ts:92,POST,/api/plugins/install-plugin,RED,installs/controls local child process (stdio JSON-RPC),"Server-side plugin host, admin-gated; per-user sandbox"
is_debug_mode,lib.rs:117,yes,1,src/App.tsx:94,GET,/api/app/is-debug-mode,GREEN,pure request/response,Direct HTTP endpoint
kill_plugin_process,task_manager.rs:332,yes,1,src/hooks/useTaskManager.ts:64,POST,/api/tasks/kill-plugin-process,RED,installs/controls local child process (stdio JSON-RPC),"Server-side plugin host, admin-gated; per-user sandbox"
list_all_preferences,preferences.rs:87,yes,0,,GET,/api/prefs/list-all-preferences,GREEN,pure request/response,Direct HTTP endpoint
list_connection_import_sources,connection_import_commands.rs:44,yes,1,src/components/modals/ImportFromAppModal.tsx:125,GET,/api/connections/list-connection-import-sources,YELLOW,local-disk file i/o + progress events,HTTP streaming download / multipart upload; WS progress
list_connection_tags,connection_tags.rs:176,yes,1,src/hooks/useConnectionTags.ts:14,GET,/api/connections/list-connection-tags,GREEN,pure request/response,Direct HTTP endpoint
list_databases,commands.rs:3626,yes,1,src/components/modals/NewConnectionModal.tsx:1591,GET,/api/db/list-databases,GREEN,pure request/response,Direct HTTP endpoint
list_notebooks,notebooks.rs:241,yes,1,src/utils/notebookStore.ts:203,GET,/api/notebooks/list-notebooks,GREEN,pure request/response,Direct HTTP endpoint
list_pending_approvals,ai_commands.rs:124,yes,1,src/hooks/useAiActivity.ts:175,GET,/api/ai/list-pending-approvals,GREEN,pure request/response,Direct HTTP endpoint
load_blob_from_file,commands.rs:3913,yes,1,src/components/ui/BlobInput.tsx:155,GET,/api/db/load-blob-from-file,YELLOW,local filesystem access,Sandboxed server workspace; no arbitrary FS
load_editor_preferences,preferences.rs:57,yes,1,src/utils/editor.ts:33,GET,/api/prefs/load-editor-preferences,GREEN,pure request/response,Direct HTTP endpoint
load_explain_from_file,explain_import.rs:48,yes,1,src/pages/VisualExplainPage.tsx:56,GET,/api/explain/load-explain-from-file,YELLOW,local filesystem access,Sandboxed server workspace; no arbitrary FS
load_notebook,notebooks.rs:215,yes,1,src/utils/notebookStore.ts:125,GET,/api/notebooks/load-notebook,GREEN,pure request/response,Direct HTTP endpoint
log_frontend_event,log_commands.rs:106,yes,2,src/contexts/DatabaseProvider.tsx:260,POST,/api/logs/log-frontend-event,YELLOW,reads local log files,Server log API scoped to session
map_inferred_column_types,commands.rs:5324,yes,1,src/components/modals/ClipboardImportModal.tsx:90,POST,/api/db/map-inferred-column-types,GREEN,pure request/response,Direct HTTP endpoint
move_connection_to_group,commands.rs:5775,yes,1,src/contexts/DatabaseProvider.tsx:1248,POST,/api/db/move-connection-to-group,GREEN,pure request/response,Direct HTTP endpoint
move_group_to_parent,commands.rs:5670,yes,1,src/contexts/DatabaseProvider.tsx:1225,POST,/api/db/move-group-to-parent,GREEN,pure request/response,Direct HTTP endpoint
open_connection_window,connection_window.rs:20,yes,1,src/hooks/useOpenConnectionInNewWindow.ts:36,POST,/api/windows/open-connection-window,RED,multi-window (OS webview),In-app panel/route or browser popup; BroadcastChannel for cross-tab sync
open_devtools,lib.rs:122,yes,0,,POST,/api/app/open-devtools,RED,OS devtools,Drop — browser has native devtools
open_er_diagram_window,commands.rs:4477,yes,5,src/components/layout/ExplorerSidebar.tsx:627,POST,/api/db/open-er-diagram-window,RED,multi-window (OS webview),In-app panel/route or browser popup; BroadcastChannel for cross-tab sync
open_json_viewer_window,json_viewer.rs:40,yes,2,src/components/ui/JsonInput.tsx:159,POST,/api/viewer/open-json-viewer-window,RED,multi-window (OS webview),In-app panel/route or browser popup; BroadcastChannel for cross-tab sync
open_plugins_dir,plugins/commands.rs:323,yes,1,src/components/settings/PluginsTab.tsx:709,POST,/api/plugins/open-plugins-dir,RED,installs/controls local child process (stdio JSON-RPC),"Server-side plugin host, admin-gated; per-user sandbox"
open_results_window,results_window.rs:35,yes,1,src/pages/Editor.tsx:1615,POST,/api/results/open-results-window,RED,multi-window (OS webview),In-app panel/route or browser popup; BroadcastChannel for cross-tab sync
open_task_manager_window,task_manager.rs:366,yes,1,src/components/settings/InfoTab.tsx:298,POST,/api/tasks/open-task-manager-window,RED,multi-window (OS webview),In-app panel/route or browser popup; BroadcastChannel for cross-tab sync
open_visual_explain_window,explain_import.rs:102,yes,0,,POST,/api/explain/open-visual-explain-window,RED,multi-window (OS webview),In-app panel/route or browser popup; BroadcastChannel for cross-tab sync
preview_connection_import,connection_import_commands.rs:69,yes,1,src/components/modals/ImportFromAppModal.tsx:240,GET,/api/connections/preview-connection-import,YELLOW,local-disk file i/o + progress events,HTTP streaming download / multipart upload; WS progress
preview_tabularis_import,connection_import_commands.rs:125,yes,1,src/components/modals/ImportFromAppModal.tsx:182,GET,/api/connections/preview-tabularis-import,YELLOW,local-disk file i/o + progress events,HTTP streaming download / multipart upload; WS progress
read_file_as_data_url,commands.rs:4010,yes,1,src/components/ui/BlobInput.tsx:98,GET,/api/db/read-file-as-data-url,YELLOW,local filesystem access,Sandboxed server workspace; no arbitrary FS
read_plugin_file,plugins/commands.rs:405,yes,2,src/contexts/PluginSlotProvider.tsx:50,GET,/api/plugins/read-plugin-file,RED,installs/controls local child process (stdio JSON-RPC),"Server-side plugin host, admin-gated; per-user sandbox"
refresh_materialized_view,commands.rs:4978,yes,1,src/components/layout/ExplorerSidebar.tsx:2193,POST,/api/db/refresh-materialized-view,GREEN,pure request/response,Direct HTTP endpoint
register_active_connection,commands.rs:5267,yes,1,src/contexts/DatabaseProvider.tsx:724,POST,/api/db/register-active-connection,GREEN,pure request/response,Direct HTTP endpoint
relaunch_app,config.rs:872,yes,1,src/components/modals/ConfigJsonModal.tsx:55,POST,/api/connections/relaunch-app,GREEN,pure request/response,Direct HTTP endpoint
rename_notebook,notebooks.rs:230,yes,1,src/utils/notebookStore.ts:221,POST,/api/notebooks/rename-notebook,GREEN,pure request/response,Direct HTTP endpoint
reorder_connections_in_group,commands.rs:5820,yes,1,src/contexts/DatabaseProvider.tsx:1270,POST,/api/db/reorder-connections-in-group,GREEN,pure request/response,Direct HTTP endpoint
reorder_groups,commands.rs:5802,yes,1,src/contexts/DatabaseProvider.tsx:1257,POST,/api/db/reorder-groups,GREEN,pure request/response,Direct HTTP endpoint
reset_cellname_prompt,config.rs:842,yes,0,,POST,/api/connections/reset-cellname-prompt,GREEN,pure request/response,Direct HTTP endpoint
reset_explain_prompt,config.rs:816,yes,0,,POST,/api/connections/reset-explain-prompt,GREEN,pure request/response,Direct HTTP endpoint
reset_explainplan_prompt,config.rs:829,yes,0,,POST,/api/connections/reset-explainplan-prompt,GREEN,pure request/response,Direct HTTP endpoint
reset_system_prompt,config.rs:803,yes,0,,POST,/api/connections/reset-system-prompt,GREEN,pure request/response,Direct HTTP endpoint
reset_tabrename_prompt,config.rs:855,yes,0,,POST,/api/connections/reset-tabrename-prompt,GREEN,pure request/response,Direct HTTP endpoint
respond_ssh_askpass,askpass/mod.rs:133,yes,1,src/hooks/useSshAskpass.ts:43,POST,/api/ssh/respond-ssh-askpass,RED,local ssh/k8s tunnel + interactive askpass,Server-side tunnel pool; askpass via WS prompt round-trip
restart_plugin_process,task_manager.rs:338,yes,0,,POST,/api/tasks/restart-plugin-process,RED,installs/controls local child process (stdio JSON-RPC),"Server-side plugin host, admin-gated; per-user sandbox"
run_connections_backup,backup/mod.rs:501,yes,1,src/components/settings/BackupTab.tsx:116,POST,/api/backup/run-connections-backup,YELLOW,local-disk file i/o + progress events,HTTP streaming download / multipart upload; WS progress
save_blob_to_file,commands.rs:3829,yes,1,src/components/ui/BlobInput.tsx:187,POST,/api/db/save-blob-to-file,YELLOW,local filesystem access,Sandboxed server workspace; no arbitrary FS
save_cellname_prompt,config.rs:838,yes,0,,POST,/api/connections/save-cellname-prompt,GREEN,pure request/response,Direct HTTP endpoint
save_config,config.rs:273,yes,8,src/contexts/SettingsProvider.tsx:151,POST,/api/connections/save-config,GREEN,pure request/response,Direct HTTP endpoint
save_config_json,config.rs:877,yes,1,src/components/modals/ConfigJsonModal.tsx:45,POST,/api/connections/save-config-json,GREEN,pure request/response,Direct HTTP endpoint
save_connection,commands.rs:992,yes,1,src/components/modals/NewConnectionModal.tsx:2209,POST,/api/db/save-connection,GREEN,pure request/response,Direct HTTP endpoint
save_connection_icon,connection_appearance.rs:179,yes,1,src/components/modals/NewConnectionModal/AppearanceSection.tsx:103,POST,/api/connections/save-connection-icon,GREEN,pure request/response,Direct HTTP endpoint
save_custom_theme,theme_commands.rs:54,yes,4,src/contexts/ThemeProvider.tsx:239,POST,/api/themes/save-custom-theme,GREEN,pure request/response,Direct HTTP endpoint
save_editor_preferences,preferences.rs:41,yes,1,src/utils/editor.ts:68,POST,/api/prefs/save-editor-preferences,GREEN,pure request/response,Direct HTTP endpoint
save_explain_prompt,config.rs:812,yes,0,,POST,/api/connections/save-explain-prompt,GREEN,pure request/response,Direct HTTP endpoint
save_explainplan_prompt,config.rs:825,yes,0,,POST,/api/connections/save-explainplan-prompt,GREEN,pure request/response,Direct HTTP endpoint
save_k8s_connection,commands.rs:1982,yes,1,src/utils/k8s.ts:70,POST,/api/db/save-k8s-connection,YELLOW,SSH/tunnel config CRUD incl. secrets,Normal endpoint; secrets move to server secret store
save_keybindings,commands.rs:5473,yes,2,src/contexts/KeybindingsProvider.tsx:50,POST,/api/db/save-keybindings,GREEN,pure request/response,Direct HTTP endpoint
save_notebook,notebooks.rs:206,yes,1,src/utils/notebookStore.ts:55,POST,/api/notebooks/save-notebook,GREEN,pure request/response,Direct HTTP endpoint
save_query,saved_queries.rs:100,yes,1,src/contexts/SavedQueriesProvider.tsx:35,POST,/api/queries/save-query,GREEN,pure request/response,Direct HTTP endpoint
save_ssh_connection,commands.rs:1684,yes,1,src/utils/ssh.ts:63,POST,/api/db/save-ssh-connection,YELLOW,SSH/tunnel config CRUD incl. secrets,Normal endpoint; secrets move to server secret store
save_system_prompt,config.rs:799,yes,0,,POST,/api/connections/save-system-prompt,GREEN,pure request/response,Direct HTTP endpoint
save_tabrename_prompt,config.rs:851,yes,0,,POST,/api/connections/save-tabrename-prompt,GREEN,pure request/response,Direct HTTP endpoint
set_ai_key,config.rs:636,yes,1,src/components/settings/AiTab.tsx:176,POST,/api/connections/set-ai-key,GREEN,pure request/response,Direct HTTP endpoint
set_connection_appearance,commands.rs:1283,yes,2,src/components/modals/NewConnectionModal.tsx:2204,POST,/api/db/set-connection-appearance,GREEN,pure request/response,Direct HTTP endpoint
set_connection_tags,connection_tags.rs:221,yes,1,src/components/modals/NewConnectionModal.tsx:2224,POST,/api/connections/set-connection-tags,GREEN,pure request/response,Direct HTTP endpoint
set_connections_backup_password,backup/mod.rs:477,yes,1,src/components/settings/BackupTab.tsx:82,POST,/api/backup/set-connections-backup-password,RED,OS keychain secret write,Server-side encrypted secret store keyed to session
set_connections_backup_target_password,backup/mod.rs:488,yes,1,src/components/settings/BackupTab.tsx:98,POST,/api/backup/set-connections-backup-target-password,RED,OS keychain secret write,Server-side encrypted secret store keyed to session
set_db_user_password,commands.rs:5200,yes,1,src/components/users/UserManagementView.tsx:368,POST,/api/db/set-db-user-password,RED,OS keychain secret write,Server-side encrypted secret store keyed to session
set_last_active_connection,config.rs:552,yes,2,src/contexts/DatabaseProvider.tsx:999,POST,/api/connections/set-last-active-connection,GREEN,pure request/response,Direct HTTP endpoint
set_last_open_connections,config.rs:580,yes,2,src/contexts/DatabaseProvider.tsx:991,POST,/api/connections/set-last-open-connections,GREEN,pure request/response,Direct HTTP endpoint
set_log_enabled,log_commands.rs:43,yes,1,src/components/settings/LogsTab.tsx:109,POST,/api/logs/set-log-enabled,YELLOW,reads local log files,Server log API scoped to session
set_log_max_size,log_commands.rs:50,yes,1,src/components/settings/LogsTab.tsx:122,POST,/api/logs/set-log-max-size,YELLOW,reads local log files,Server log API scoped to session
set_schema_preference,config.rs:525,yes,2,src/contexts/DatabaseProvider.tsx:611,POST,/api/connections/set-schema-preference,GREEN,pure request/response,Direct HTTP endpoint
set_selected_databases,commands.rs:761,yes,3,src/contexts/DatabaseProvider.tsx:252,POST,/api/db/set-selected-databases,GREEN,pure request/response,Direct HTTP endpoint
set_selected_schemas,config.rs:610,yes,1,src/contexts/DatabaseProvider.tsx:592,POST,/api/connections/set-selected-schemas,GREEN,pure request/response,Direct HTTP endpoint
set_window_title,commands.rs:4437,yes,2,src/contexts/DatabaseProvider.tsx:149,POST,/api/db/set-window-title,RED,multi-window (OS webview),In-app panel/route or browser popup; BroadcastChannel for cross-tab sync
suggest_table_name,ai.rs:718,yes,1,src/components/modals/ClipboardImportModal.tsx:237,POST,/api/ai/suggest-table-name,GREEN,pure request/response,Direct HTTP endpoint
test_connection,commands.rs:2300,yes,3,src/hooks/useOpenConnectionInNewWindow.ts:31,GET,/api/db/test-connection,GREEN,pure request/response,Direct HTTP endpoint
test_k8s_connection_cmd,commands.rs:2078,yes,1,src/utils/k8s.ts:98,GET,/api/db/test-k8s-connection-cmd,YELLOW,SSH/tunnel config CRUD incl. secrets,Normal endpoint; secrets move to server secret store
test_log,log_commands.rs:117,yes,0,,GET,/api/logs/test-log,YELLOW,reads local log files,Server log API scoped to session
test_ssh_connection,commands.rs:1840,yes,1,src/utils/ssh.ts:103,GET,/api/db/test-ssh-connection,RED,local ssh/k8s tunnel + interactive askpass,Server-side tunnel pool; askpass via WS prompt round-trip
uninstall_plugin,plugins/commands.rs:234,yes,1,src/components/settings/PluginsTab.tsx:797,POST,/api/plugins/uninstall-plugin,RED,installs/controls local child process (stdio JSON-RPC),"Server-side plugin host, admin-gated; per-user sandbox"
update_connection,commands.rs:1123,yes,1,src/components/modals/NewConnectionModal.tsx:2196,POST,/api/db/update-connection,GREEN,pure request/response,Direct HTTP endpoint
update_connection_group,commands.rs:5636,yes,1,src/contexts/DatabaseProvider.tsx:1215,POST,/api/db/update-connection-group,GREEN,pure request/response,Direct HTTP endpoint
update_connection_tag,connection_tags.rs:197,yes,1,src/hooks/useConnectionTags.ts:40,POST,/api/connections/update-connection-tag,GREEN,pure request/response,Direct HTTP endpoint
update_k8s_connection,commands.rs:2017,yes,1,src/utils/k8s.ts:80,POST,/api/db/update-k8s-connection,YELLOW,SSH/tunnel config CRUD incl. secrets,Normal endpoint; secrets move to server secret store
update_record,commands.rs:3789,yes,3,src/components/ui/DataGrid.tsx:1112,POST,/api/db/update-record,GREEN,pure request/response,Direct HTTP endpoint
update_saved_query,saved_queries.rs:143,yes,1,src/contexts/SavedQueriesProvider.tsx:45,POST,/api/queries/update-saved-query,GREEN,pure request/response,Direct HTTP endpoint
update_ssh_connection,commands.rs:1743,yes,1,src/utils/ssh.ts:77,POST,/api/db/update-ssh-connection,YELLOW,SSH/tunnel config CRUD incl. secrets,Normal endpoint; secrets move to server secret store
validate_k8s_path_cmd,commands.rs:2144,yes,1,src/utils/k8s.ts:173,GET,/api/db/validate-k8s-path-cmd,RED,local ssh/k8s tunnel + interactive askpass,Server-side tunnel pool; askpass via WS prompt round-trip
